GROUP_SET,GROUP_ID,lineup,TEAM_ID,team,GP,W,L,W_PCT,minutes,E_OFF_RATING,off_rtg,E_DEF_RATING,def_rtg,E_NET_RATING,net_rtg,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203497-203944-1628978-1630162-1630183-,R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,1610612750,MIN,54,33,21,0.611,710.0,118.7,118.8,110.4,110.9,8.3,7.9,0.599,1.74,18.7,0.298,0.721,0.522,0.15,0.588,0.616,102.0,101.72,84.77,1502,0.539,1,1,18490,7263,1,6488,10114,7218,8616,3867,7153,7326,7833,6829,11602,6571,7028,11754,7736,2129110
Lineups,-202699-1629130-1630595-1631105-1641709-,T. Harris - D. Robinson - C. Cunningham - J. Duren - A. Thompson,1610612765,DET,40,27,13,0.675,515.0,118.2,120.9,108.8,109.1,9.4,11.8,0.641,2.32,20.4,0.35,0.731,0.54,0.13,0.562,0.586,103.3,101.95,84.96,1094,0.551,4,3,18477,6513,2,6081,9947,6870,7844,2246,5470,5629,7722,6430,10652,7315,7923,11646,7516,1545280
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,40,27,13,0.675,494.0,114.3,114.2,113.8,113.5,0.4,0.7,0.704,2.15,21.5,0.247,0.76,0.511,0.141,0.578,0.606,101.4,101.56,84.63,1043,0.515,4,3,18477,6513,3,7225,10490,7732,6309,2350,5023,8756,6715,7022,10968,6857,7347,11843,8179,1482455
Lineups,-1628970-1630163-1631217-1641706-1642851-,M. Bridges - L. Ball - M. Diabaté - B. Miller - K. Knueppel,1610612766,CHA,45,32,13,0.711,462.0,132.3,135.9,108.1,108.1,24.2,27.8,0.655,2.43,21.8,0.355,0.748,0.561,0.133,0.646,0.669,101.1,99.75,83.13,961,0.607,2,2,18477,6475,4,4185,9800,5387,7750,2137,4940,5592,7602,5893,10714,5188,5449,12749,6326,1386540
Lineups,-201142-1629006-1630578-1631095-1641708-,K. Durant - J. Okogie - A. Sengun - J. Smith Jr. - A. Thompson,1610612745,HOU,38,25,13,0.658,348.0,121.8,122.0,111.6,113.2,10.2,8.9,0.608,2.05,19.9,0.345,0.685,0.521,0.14,0.585,0.612,98.9,98.08,81.73,708,0.566,6,5,18477,7188,5,6008,10451,7131,8180,2392,6659,5654,8436,6876,10954,6607,7201,13507,7186,1043195
Lineups,-203468-1629638-1630168-1630552-1630700-,C. McCollum - N. Alexander-Walker - O. Okongwu - J. Johnson - D. Daniels,1610612737,ATL,27,19,8,0.704,341.0,124.8,124.5,102.0,100.7,22.8,23.9,0.674,2.61,21.1,0.307,0.762,0.532,0.117,0.59,0.622,103.6,104.41,87.01,742,0.596,16,11,18380,6479,6,5744,9296,5764,6538,1886,5213,7196,6701,6657,10013,6545,6886,10302,6605,1021945
Lineups,-1627742-1627751-1629628-1630193-1630567-,B. Ingram - J. Poeltl - R. Barrett - I. Quickley - S. Barnes,1610612761,TOR,25,15,10,0.6,331.0,122.4,122.4,115.1,114.5,7.3,7.9,0.645,2.42,21.1,0.318,0.723,0.518,0.126,0.593,0.623,102.9,103.18,85.99,715,0.536,20,22,18449,7266,7,5908,10708,7220,7804,2143,5211,7073,7814,6930,10586,6466,6866,10924,7811,994335
Lineups,-203932-203999-1627750-1629661-1631128-,A. Gordon - N. Jokić - J. Murray - C. Johnson - C. Braun,1610612743,DEN,21,16,5,0.762,326.0,125.0,125.4,116.7,115.1,8.3,10.4,0.699,2.8,22.2,0.295,0.784,0.546,0.115,0.599,0.635,99.7,100.28,83.56,684,0.553,35,20,18030,6174,8,5327,10742,6988,6393,1767,4503,7341,6464,6221,9999,6397,6454,12492,7469,977205
Lineups,-1629008-1629611-1629651-1641730-1642856-,M. Porter Jr. - T. Mann - N. Claxton - N. Clowney - E. Dëmin,1610612751,BKN,19,7,12,0.368,307.0,113.7,116.7,114.9,114.5,-1.1,2.2,0.751,1.96,21.3,0.294,0.724,0.501,0.158,0.561,0.596,100.2,99.05,82.55,633,0.496,48,237,18469,9599,9,6667,10709,7657,5320,3667,5171,7342,7812,7077,11916,7319,7629,13060,8846,920950
Lineups,-201142-1630578-1631095-1631106-1641708-,K. Durant - A. Sengun - J. Smith Jr. - T. Eason - A. Thompson,1610612745,HOU,34,21,13,0.618,304.0,117.2,117.1,109.4,107.2,7.8,10.0,0.634,1.94,19.9,0.381,0.793,0.589,0.151,0.565,0.591,97.6,98.65,82.21,624,0.537,8,10,18477,7254,10,6651,9699,7048,7918,3671,6656,5255,6379,5118,11663,7178,7820,13241,7791,913065
Lineups,-1629638-1630168-1630552-1630700-1642258-,N. Alexander-Walker - O. Okongwu - J. Johnson - D. Daniels - Z. Risacher,1610612737,ATL,31,15,16,0.484,304.0,116.9,117.9,117.0,115.2,-0.1,2.7,0.768,2.61,23.4,0.259,0.73,0.492,0.131,0.583,0.608,108.0,108.33,90.27,680,0.504,10,22,18486,9336,11,6594,10750,7632,5290,1887,4155,7866,7730,9782,10687,6808,7283,8333,8332,910580
Lineups,-201935-202695-1627739-1627826-1628381-,J. Harden - K. Leonard - K. Dunn - I. Zubac - J. Collins,1610612746,LAC,24,9,15,0.375,303.0,114.9,115.9,112.6,113.4,2.3,2.5,0.601,1.81,19.2,0.288,0.726,0.511,0.148,0.574,0.607,100.5,99.69,83.07,634,0.518,23,118,18484,9574,12,6915,10488,7637,8194,3743,6863,7388,7802,7023,11589,6921,7326,12779,8135,910055
