GROUP_SET,GROUP_ID,lineup,TEAM_ID,team,GP,W,L,W_PCT,minutes,E_OFF_RATING,off_rtg,E_DEF_RATING,def_rtg,E_NET_RATING,net_rtg,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203084-1627734-1628368-1628989-1631099-,H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray,1610612758,SAC,63,38,25,0.603,900.0,117.9,118.3,115.9,116.1,2.0,2.2,0.62,2.3,19.4,0.258,0.764,0.506,0.117,0.568,0.602,103.0,102.69,85.58,1932,0.509,1,1,16781,6722,1,5843,9885,6942,6703,2022,5765,6513,6776,6351,9028,6497,6829,10203,7427,2701390
Lineups,-203991-1627749-1628381-1629027-1629631-,C. Capela - D. Murray - J. Collins - T. Young - D. Hunter,1610612737,ATL,44,25,19,0.568,738.0,115.6,115.9,111.2,110.6,4.4,5.3,0.569,2.25,18.4,0.288,0.742,0.511,0.114,0.543,0.575,103.6,103.78,86.48,1594,0.532,4,4,16773,6968,2,6202,9157,6697,7554,2035,6217,6032,7602,6313,8969,7077,7625,9589,7027,2213190
Lineups,-203484-203932-203999-1627750-1629008-,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,1610612743,DEN,41,27,14,0.659,706.0,123.1,124.3,111.6,111.2,11.5,13.1,0.698,2.66,23.2,0.283,0.751,0.525,0.127,0.613,0.634,101.5,101.2,84.34,1491,0.563,6,2,16762,6653,3,5138,9283,5938,5101,1694,3510,6273,6827,6096,9646,5416,5952,10927,6405,2117935
Lineups,-201942-202696-203897-1630172-1630245-,D. DeRozan - N. Vucevic - Z. LaVine - P. Williams - A. Dosunmu,1610612741,CHI,48,24,24,0.5,591.0,111.5,110.2,110.0,109.8,1.5,0.4,0.617,1.96,19.7,0.164,0.792,0.501,0.134,0.574,0.605,100.7,101.41,84.51,1248,0.512,2,7,16780,7037,4,6983,9030,7042,6713,3328,5699,8737,6462,6368,9842,6304,6746,10787,7383,1774265
Lineups,-203914-1628365-1628976-1630532-1631094-,G. Harris - M. Fultz - W. Carter Jr. - F. Wagner - P. Banchero,1610612753,ORL,36,18,18,0.5,570.0,111.9,113.0,112.2,111.6,-0.3,1.4,0.608,1.87,18.8,0.228,0.765,0.496,0.137,0.56,0.593,101.1,100.93,84.11,1199,0.502,11,17,16772,7037,5,6626,9312,6987,6791,3371,5998,7526,6753,8836,9923,6694,7136,11058,7492,1711290
Lineups,-203081-203924-203994-1628404-1629014-,D. Lillard - J. Grant - J. Nurkic - J. Hart - A. Simons,1610612757,POR,33,18,15,0.545,541.0,114.0,115.0,115.4,115.5,-1.4,-0.5,0.62,1.65,18.7,0.235,0.74,0.493,0.154,0.577,0.615,101.0,100.46,83.72,1133,0.495,16,17,16765,7006,6,6283,9845,8824,6704,3716,6128,7451,7618,8847,10696,6244,6450,11306,7945,1623280
Lineups,-203944-1628973-1629011-1629628-1629656-,J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,1610612752,NYK,33,21,12,0.636,526.0,122.9,123.8,116.4,117.1,6.5,6.7,0.573,2.14,18.2,0.313,0.79,0.545,0.119,0.584,0.613,98.4,97.77,81.47,1072,0.524,16,13,16743,6664,7,5165,10095,6580,7358,2139,6514,5747,6468,5702,9127,6026,6565,12506,7168,1578910
Lineups,-200782-201935-202699-203954-1629001-,P. Tucker - J. Harden - T. Harris - J. Embiid - D. Melton,1610612755,PHI,37,23,14,0.622,519.0,120.3,120.2,110.5,112.4,9.8,7.9,0.688,1.99,20.3,0.212,0.71,0.486,0.139,0.595,0.651,97.2,96.44,80.37,1043,0.564,9,10,16762,6711,8,5480,9376,6479,5159,3324,4620,7758,8107,8918,9967,5868,5540,13037,6388,1556595
Lineups,-1629645-1630224-1630231-1630578-1631095-,K. Porter Jr. - J. Green - K. Martin Jr. - A. Sengun - J. Smith Jr.,1610612745,HOU,43,12,31,0.279,440.0,111.5,111.5,121.6,120.8,-10.2,-9.3,0.545,1.75,16.9,0.319,0.755,0.532,0.134,0.536,0.562,99.9,100.25,83.54,922,0.454,5,56,16782,9661,9,6819,10610,9513,7782,3465,6937,5716,6822,5952,9850,7200,8101,11386,8694,1319390
Lineups,-201143-203935-1627759-1628369-1628401-,A. Horford - M. Smart - J. Brown - J. Tatum - D. White,1610612738,BOS,35,24,11,0.686,432.0,123.1,124.0,111.4,111.8,11.7,12.2,0.698,2.95,22.6,0.174,0.735,0.471,0.107,0.615,0.644,102.8,102.34,85.29,918,0.557,12,7,16731,6048,10,5154,9346,6035,5102,1585,3732,8440,7668,9185,8603,5378,5719,10315,6497,1297280
Lineups,-201569-1629645-1630224-1630578-1631095-,E. Gordon - K. Porter Jr. - J. Green - A. Sengun - J. Smith Jr.,1610612745,HOU,29,8,21,0.276,426.0,104.9,107.1,117.3,118.9,-12.4,-11.8,0.504,1.27,15.0,0.293,0.735,0.508,0.158,0.519,0.552,101.3,99.56,82.97,890,0.442,23,143,16778,9665,11,7361,10285,9739,7949,4507,8500,5999,7667,6331,10933,7459,8308,11695,8919,1279265
Lineups,-1626167-1627741-1629614-1630169-1630174-,M. Turner - B. Hield - A. Nembhard - T. Haliburton - A. Nesmith,1610612754,IND,32,17,15,0.531,415.0,117.3,118.7,115.4,115.1,1.9,3.7,0.654,2.32,21.0,0.186,0.672,0.44,0.125,0.598,0.624,100.4,99.88,83.23,859,0.512,18,20,16765,7030,12,5820,9805,6825,6396,2016,4472,8340,8458,9979,9219,5848,6269,11539,7380,1246370
Lineups,-1628378-1628386-1629636-1630171-1630596-,D. Mitchell - J. Allen - D. Garland - I. Okoro - E. Mobley,1610612739,CLE,34,23,11,0.676,398.0,121.5,121.6,113.2,114.6,8.2,6.9,0.593,2.05,20.3,0.253,0.769,0.521,0.138,0.613,0.639,98.5,97.82,81.52,807,0.528,13,10,16731,6052,13,5382,9769,6569,7226,2167,4627,6535,6739,6167,9936,5419,5862,12489,7103,1193150
Lineups,-1627783-1627832-1628384-1629018-1630567-,P. Siakam - F. VanVleet - O. Anunoby - G. Trent Jr. - S. Barnes,1610612761,TOR,28,13,15,0.464,380.0,112.0,113.7,113.3,113.3,-1.4,0.4,0.643,2.78,19.1,0.255,0.741,0.473,0.097,0.525,0.558,99.7,98.88,82.4,786,0.496,27,46,16765,8782,14,6525,9521,7041,6449,1609,5865,6529,7611,9166,8209,7391,8155,12038,7929,1141065
Lineups,-200782-201935-202699-203954-1630178-,P. Tucker - J. Harden - T. Harris - J. Embiid - T. Maxey,1610612755,PHI,30,19,11,0.633,366.0,121.0,121.0,108.7,108.5,12.3,12.5,0.637,2.32,20.0,0.25,0.793,0.538,0.119,0.58,0.625,95.6,95.69,79.74,730,0.568,21,15,16731,6678,15,5456,8899,6020,6488,2015,5674,6537,6455,5844,9126,6216,6267,13377,6334,1098515
